alg,pacgums,score,time,win
A_Star_Agress,85,13570.0,42.885133266448975,False
A_Star_Rand,163,2350.0,60.77629995346069,False
Dijkstra_Rand,21,210.0,29.360501766204838,False
BFS_Mod,233,2690.0,579.6001598834991,False
Rand_Dir,36,360.0,53.00193667411804,False
Rand_Dir_Legal,26,260.0,46.56662464141846,False
Rand_Dir_Hold,64,640.0,35.0054771900177,False
Rand_Dir_Charge,119,1370.0,51.72372508049011,False
Rand_Dir_Legal_Hold,104,1680.0,49.08907961845398,False
Rand_Turn,56,560.0,48.74452614784241,False
Rand_Turn_Legal,47,470.0,50.89635515213013,False
BFS_Gum,162,2300.0,47.4770290851593,False
BFS_Rand,56,1200.0,38.24433469772339,False
BFS_Agress,115,3510.0,53.83932948112488,False
A_Star_Agress,162,2580.0,63.97572898864746,False
A_Star_Rand,93,1570.0,53.14788699150085,False
Dijkstra_Rand,44,440.0,41.307661294937134,False
BFS_Mod,237,3330.0,583.791065454483,False
Rand_Dir,38,380.0,50.845414876937866,False
Rand_Dir_Legal,29,290.0,45.14080619812012,False
Rand_Dir_Hold,82,820.0,40.951722145080566,False
Rand_Dir_Charge,129,1370.0,59.81089997291565,False
Rand_Dir_Legal_Hold,85,890.0,52.177831411361694,False
Rand_Turn,71,750.0,52.19366812705994,False
Rand_Turn_Legal,63,630.0,53.99795913696289,False
BFS_Gum,205,2570.0,60.94847059249878,False
BFS_Rand,51,510.0,31.288006067276,False
BFS_Agress,124,7600.0,52.50196313858032,False
A_Star_Agress,122,3980.0,55.88728070259094,False
A_Star_Rand,98,1060.0,56.26973795890808,False
Dijkstra_Rand,55,590.0,40.57864904403687,False
BFS_Mod,229,3050.0,584.247629404068,False
Rand_Dir,40,440.0,54.69645667076111,False
Rand_Dir_Legal,20,200.0,45.15316247940064,False
Rand_Dir_Hold,85,1490.0,40.1442232131958,False
Rand_Dir_Charge,119,1570.0,48.29689884185791,False
Rand_Dir_Legal_Hold,114,1180.0,56.33497095108032,False
Rand_Turn,45,490.0,50.08624267578125,False
Rand_Turn_Legal,86,900.0,59.17500638961792,False
BFS_Gum,232,2640.0,64.48892307281494,False
BFS_Rand,129,1370.0,61.99484825134277,False
BFS_Agress,97,3090.0,44.05936288833618,False
A_Star_Agress,71,2190.0,37.75134205818176,False
A_Star_Rand,100,1640.0,47.50780034065247,False
Dijkstra_Rand,42,420.0,46.46797704696655,False
BFS_Mod,244,2800.0,786.939816236496,True
Rand_Dir,42,420.0,54.99997901916504,False
Rand_Dir_Legal,35,350.0,49.31723594665527,False
Rand_Dir_Hold,47,470.0,47.80379462242127,False
Rand_Dir_Charge,113,1410.0,51.65755462646485,False
Rand_Dir_Legal_Hold,72,720.0,49.590545415878296,False
Rand_Turn,43,430.0,46.29448485374451,False
Rand_Turn_Legal,58,620.0,52.973450660705566,False
BFS_Gum,237,2730.0,64.2165629863739,False
BFS_Rand,135,1390.0,52.79551649093628,False
BFS_Agress,94,2460.0,46.78472018241882,False
A_Star_Agress,116,4480.0,49.957515239715576,False
A_Star_Rand,193,2290.0,73.15116310119629,False
Dijkstra_Rand,61,890.0,48.40463995933533,False
BFS_Mod,195,2870.0,778.6948249340057,False
Rand_Dir,26,260.0,40.22805213928223,False
Rand_Dir_Legal,36,360.0,44.5382878780365,False
Rand_Dir_Hold,80,800.0,39.59532594680786,False
